# Amplitude1 Amplitude2 Frequency logL logPrior
1.659578765820245039e+01 1.671359797218547882e+01 7.799197933834834728e+00 5.892752519016811857e+05 0.000000000000000000e+00
1.723651065170409069e+01 1.682475404565055044e+01 5.757020720114088164e+00 5.893914230023912387e+05 0.000000000000000000e+00
1.584466712004112310e+01 1.791526161533163730e+01 5.845461340492759561e+00 5.897293766450621188e+05 0.000000000000000000e+00
1.474730611308300965e+01 1.847913799200782137e+01 6.839719183998636431e+00 5.897989771033324068e+05 0.000000000000000000e+00
1.832691623223493238e+01 1.494319583058424605e+01 5.530780381939104373e+00 5.898912300271830754e+05 0.000000000000000000e+00
1.815214458768252470e+01 1.553548577199116032e+01 9.296520714030773291e+00 5.899655689506131457e+05 0.000000000000000000e+00
1.732475642922665671e+01 1.705872507758785162e+01 8.795601968291073547e+00 5.899717098735078471e+05 0.000000000000000000e+00
1.304746197354967663e+01 1.955643475141040710e+01 7.655282312868392225e+00 5.899801511946850223e+05 0.000000000000000000e+00
1.309643330394154326e+01 1.980128094412190265e+01 5.678064166426948667e+00 5.900396375386376167e+05 0.000000000000000000e+00
1.881006679254811687e+01 1.457129299228736130e+01 5.482380185545918216e+00 5.902693829897176474e+05 0.000000000000000000e+00
1.713035406394601878e+01 5.844976760251171299e+00 7.185079119942864523e+00 5.903257319293842884e+05 0.000000000000000000e+00
1.884638078237281889e+01 1.713122050509164751e+01 7.078400134447699443e+00 5.905840240571824834e+05 0.000000000000000000e+00
1.869577873122333145e+01 1.402076286739612421e+01 5.897767800468619370e+00 5.910337523838098859e+05 0.000000000000000000e+00
1.562869569209777865e+01 1.765710791022114634e+01 5.922194184680774853e+00 5.912248480229887646e+05 0.000000000000000000e+00
1.672940176314065752e+01 1.610574030893222286e+01 6.417573471274474528e+00 5.914584476063444745e+05 0.000000000000000000e+00
1.910506338890932199e+01 1.424538782671774939e+01 9.516221234631533576e+00 5.915660227374588139e+05 0.000000000000000000e+00
1.972069136961514957e+01 1.390268622425038103e+01 6.878828924296082725e+00 5.917113125502279727e+05 0.000000000000000000e+00
1.941404905422643168e+01 1.398242149612873675e+01 9.042932680312148364e+00 5.917281650014782790e+05 0.000000000000000000e+00
9.679323652065527028e+00 1.796422985725004295e+01 7.429051803123048359e+00 5.918668348622552585e+05 0.000000000000000000e+00
1.719036361512061006e+01 1.586171951500979205e+01 5.333759808058887053e+00 5.918903929250288056e+05 0.000000000000000000e+00
1.962408209615103516e+01 1.331305346261690481e+01 5.638699478730498704e+00 5.920806779809605796e+05 0.000000000000000000e+00
1.856812504764502592e+01 1.403060804839836528e+01 5.873542575498792218e+00 5.921068410540312761e+05 0.000000000000000000e+00
1.517976983088129117e+01 1.844812226207269390e+01 5.235974953278980770e+00 5.921660121118554380e+05 0.000000000000000000e+00
1.800265478859482116e+01 1.567059199343901632e+01 5.992396754027957684e+00 5.922495595767919440e+05 0.000000000000000000e+00
1.666665711262714922e+01 1.661784575931532260e+01 8.394725910958950266e+00 5.922668713422329165e+05 0.000000000000000000e+00
1.974590926309422656e+01 1.290524153960873299e+01 9.991059108180927240e+00 5.923492348584813299e+05 0.000000000000000000e+00
1.533214850548169927e+01 1.737596558986809825e+01 6.464047665048799907e+00 5.924209320755557856e+05 0.000000000000000000e+00
1.849661872793832984e+01 1.427105870662503584e+01 6.213064769682095090e+00 5.925285254580636974e+05 0.000000000000000000e+00
1.792181595320159815e+01 1.578555886690874033e+01 8.423552672153743259e+00 5.926518341203033924e+05 0.000000000000000000e+00
1.493350289240152406e+01 1.803759106490347719e+01 9.245862102349720502e+00 5.929192589142362121e+05 0.000000000000000000e+00
1.341191162156260752e+01 1.944356299795922993e+01 5.756757643126251267e+00 5.929402907341424143e+05 0.000000000000000000e+00
1.915943974271851502e+01 1.381210337707602953e+01 8.224414318612897290e+00 5.929567103669170756e+05 0.000000000000000000e+00
1.703250379842080520e+01 1.573073700215624804e+01 7.479459022138321700e+00 5.931096673163290834e+05 0.000000000000000000e+00
1.496323060123507886e+01 1.838763895030172435e+01 7.858651372643176813e+00 5.931189690948571078e+05 0.000000000000000000e+00
1.717582298842130228e+01 1.630429335491989207e+01 8.309941818511628497e+00 5.931843471443182789e+05 0.000000000000000000e+00
1.844714632683187006e+01 1.676629870683174417e+01 7.707938071579066630e+00 5.932119846207818482e+05 0.000000000000000000e+00
1.944566465367918440e+01 1.291181705267950086e+01 9.092143333302804109e+00 5.935090360625836765e+05 0.000000000000000000e+00
1.899082373480820962e+01 1.357642545050501859e+01 8.712468014806638905e+00 5.936031119702114956e+05 0.000000000000000000e+00
1.692390812924625010e+01 1.690103624376157399e+01 8.459696415213109333e+00 5.936153373508285731e+05 0.000000000000000000e+00
1.940194636677678730e+01 1.286399711832522463e+01 5.843860899832677092e+00 5.936287925594862318e+05 0.000000000000000000e+00
1.910373479806835917e+01 1.316824947715260130e+01 7.118854514489970420e+00 5.936746356153858360e+05 0.000000000000000000e+00
1.728806082258153509e+01 1.591359924739979448e+01 6.558010111792506258e+00 5.939114982506658416e+05 0.000000000000000000e+00
1.466737629407934485e+01 1.907968808156904927e+01 6.705247000880975250e+00 5.939872399165196111e+05 0.000000000000000000e+00
1.911656772555492267e+01 9.627693581489147334e+00 7.023332597331256366e+00 5.940786220520966453e+05 0.000000000000000000e+00
1.682122172587995124e+01 1.754540331620622240e+01 7.905071175582209619e+00 5.941361660823358689e+05 0.000000000000000000e+00
1.818698779146318856e+01 1.331120683213189082e+01 7.036977923687302905e+00 5.941682831576226745e+05 0.000000000000000000e+00
1.289152867794493318e+01 1.963561131242780178e+01 9.915072732267958600e+00 5.942275078408177942e+05 0.000000000000000000e+00
1.987239056373631385e+01 1.006950184048819885e+01 6.646260939332226059e+00 5.942803795379020739e+05 0.000000000000000000e+00
1.908381969512986487e+01 1.319313224978305854e+01 5.653183100844993092e+00 5.942940505128552904e+05 0.000000000000000000e+00
